ticker,name,sector,rating,rating_num,date,debt_to_equity,interest_coverage,current_ratio,net_margin,roa,debt_to_ebitda,log_assets,pd_1yr,spread_bps,beta,market_cap,log_market_cap
IQV,IQVIA Holdings,Healthcare,A-,2,2024-12-31,2.3332783912971813,3.2865671641791043,0.8378611470461406,0.0891269068484258,0.0510427896947841,4.099623515783377,10.429736134926031,0.0018,156.7,1.369,38489761506.0,10.558147549999827
AMT,American Tower,Real Estate,A-,2,2024-12-31,12.995712849624503,3.215735137059452,0.4492622533778054,0.2226676672722964,0.0369203666167846,6.143903495897457,10.785880541323376,0.0018,218.4,0.915,81832029700.0,11.312424007075482
CCI,Crown Castle,Real Estate,A-,2,2024-12-31,50.0,-3.2644444444444445,0.5006890215893431,-0.5942448233861145,-0.1192265395894428,30.057856272838,10.515025612032066,0.0018,343.3,0.959,38256831029.0,10.55207741230303
EQIX,Equinix,Real Estate,A-,2,2024-12-31,1.4016114725014783,2.9059080962800876,1.626455658405494,0.0931641518061271,0.0232293002707709,5.510316768381284,10.545121480864834,0.0018,180.6,1.037,74009527528.0,11.211949114277067
PSA,Public Storage,Real Estate,A-,2,2024-12-31,0.9629788338989556,7.658887756131676,0.7605907712393413,0.4412650012266761,0.1048857465178066,2.667535021786834,10.295675583069164,0.0018,116.1,0.986,45985346709.0,10.736078074919117
SBAC,SBA Communications,Real Estate,A-,2,2024-12-31,50.0,100.0,1.100550853867991,0.2797158119355106,0.0656489394723953,8.779878300215092,10.057564782065194,0.0018,173.4,0.861,20707346435.0,9.938243816532813
DLR,Digital Realty,Real Estate,A-,2,2024-12-31,0.8438735230651988,1.0420196274147815,1.1085971725811534,0.1084596706947726,0.0133048120538783,6.279760925055445,10.655941098969626,0.0018,192.2,1.123,53307658850.0,10.883835293076828
O,Realty Income,Real Estate,A-,2,2024-12-31,0.6888937074264655,100.0,1.6757956732452994,0.1632989587455621,0.0125048523616003,6.18277649277097,10.837809562809468,0.0018,127.7,0.809,52131059703.0,10.861516205639177
SPG,Simon Property,Real Estate,A-,2,2024-12-31,8.424680438828318,3.4144471664180824,0.833192943434259,0.3975480054824123,0.0731629515321861,4.939232645421698,10.510621286529409,0.0018,204.5,1.394,61469541277.0,11.026297067322373
WELL,Welltower,Real Estate,A-,2,2024-12-31,0.5244162886910737,1.99508237543556,5.2774536765634545,0.1211772714180903,0.0186441943732492,6.0317960102737755,10.70794732052648,0.0018,163.0,0.84,128823773671.0,11.766200653810925
AVB,AvalonBay,Real Estate,A-,2,2024-12-31,0.6909360550944587,4.041458323219573,0.3578740025593439,0.3713398200330364,0.0515217156426462,3.8266668583742023,10.322234536134715,0.0018,142.4,0.743,26017377131.0,10.166519944948735
EQR,Equity Residential,Real Estate,A-,2,2024-12-31,0.7629676510426853,6.383152221463944,0.1633187042671735,0.3475816983814009,0.0497178770113106,4.58358780660539,10.318776328612364,0.0018,123.7,0.759,23867179248.0,10.08025954092151
VTR,Ventas,Real Estate,A-,2,2024-12-31,1.2756673843476352,1.130043876019143,1.0358376239869893,0.0164802226362263,0.0030989915341659,7.094839306303464,10.418084189280377,0.0018,196.7,0.794,35225995382.0,10.469539594195883
ORCL,Oracle,Technology,BBB+,3,2025-05-31,5.090411226834874,4.940749021799888,0.7529638819961401,0.2167807801529643,0.0739066648451838,4.353629976580796,11.2262414966269,0.0018,152.8,1.659,557717741972.0,13.231608274624007
