ticker,name,sector,rating,rating_num,date,debt_to_equity,interest_coverage,current_ratio,net_margin,roa,debt_to_ebitda,log_assets
ICE,Intercontinental Exchange,Financials,A,2,2024-12-31,0.7488335081564004,4.735164835164835,0.9948857101381305,0.23416376158489924,0.019752130131680867,3.4079012345679014,11.14434999775337
PNC,PNC Financial,Financials,A,2,2024-12-31,1.1331740927882408,0.5620488940628638,0.1460638611982059,0.17477889238440078,0.010515357886429134,8.221970403946141,11.748217495989072
USB,US Bancorp,Financials,A,2,2024-12-31,1.2550786984874869,0.51433959810106,0.2831179389577522,0.14747611912343137,0.009286204995297191,8.309222423146474,11.831433341754618
TFC,Truist Financial,Financials,A,2,2024-12-31,0.9777948774321205,-0.05476082004555809,0.140391017463915,0.19865583639137427,0.009070439929514888,50.0,11.725238444178045
SO,Southern Company,Utilities,A,2,2024-12-31,1.9958142616237051,2.5767407947502736,0.6686675420496467,0.16468343062415805,0.030314092850254857,5.006571989726544,11.16190679206728
DUK,Duke Energy,Utilities,A,2,2024-12-31,1.7003152056816822,2.3421985815602837,0.6690086273699437,0.14856540501367066,0.0242026800040785,5.683136627325465,11.27031308306532
D,Dominion Energy,Utilities,A,2,2024-12-31,1.5319414376398928,1.7207207207207207,0.7119173215631392,0.14689812573483643,0.0207391495386418,6.223911747167561,11.01036356933654
AEP,American Electric Power,Utilities,A,2,2024-12-31,1.6984538186892717,2.5629609690444144,0.44497398015266004,0.1489769788868526,0.02878499776868003,5.654475362032324,11.013165983439302
EXC,Exelon,Utilities,A,2,2024-12-31,1.7328108168344416,2.2565308254963425,0.8723337842055977,0.1068264721208963,0.02282342462703184,5.706299694189602,11.03255429677432
SRE,Sempra Energy,Utilities,A,2,2024-12-31,1.1474297420139556,2.172678434382195,0.5461967755270773,0.22088446399629544,0.02976444282668608,6.127863247863248,10.982971872203734
WM,Waste Management,Industrials,A,2,2024-12-31,2.8962675714978188,6.938127090301004,0.7628635346756152,0.12446176857181707,0.061615096371754885,3.701982651796778,10.64901340080603
